TYPE,RC,Site,MRBTS_Id,MRBTS_Name,NRBTS_Name,NRBTS_Id,LNBTS_Name,LNBTS_Id,RNC_Name,RNC_Id,WBTS_Name,WBTS_Id,BSC_Name,BSC_Id,BCF_Name,BCF_Id,SMOD,BBMOD,RMOD_5G,RMOD_LTE,RMOD_3G,RMOD_2G,RMOD_RFS_SA,TECH_RFS_SA,creation_date
SRAN/LTE,rc8,CF02156,62,CF02156L100,,,CF02156L100,62,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02160,81573,CF02160GU-81573,,,,,RTORH,369,CF02160U100,4140,BSAL3,403163,CF02160G100,841,FSMF,FBBA+FBBA,,,FXFC-3,FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02160,1868,CF02160L100,,,CF02160L100,1868,,,,,,,,,FSMF,FBBC+FBBC,,FRIG-1/FRIG-2/FRIG-3/FRPA-4,,,,,7/23/24
SRAN/LTE,rc8,CF02161,70309,CF02161L-70309,,,CF02161L200,7589,,,,,,,,,FSMF,FBBA,,FXFC-1,,,,,7/23/24
SRAN/LTE,rc8,CF02161,8052,CF02161UL-8052,,,CF02161L300,8052,RTORD,357,CF02161U100,4728,,,,,FSMF,FBBA+FBBA,,FXFC-2,FXFC-1/FXFC-2,,,,7/23/24
SRAN/LTE,rc8,CF02161,356,CF02161L100,,,CF02161L100,356,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02165,81520,CF02165GUL-81520,,,CF02165L200,30067,RTORH,369,CF02165U100,4553,BSAL3,403163,CF02165G100,1801,FSMF,FBBA+FBBA,,FXFC-2,FXFC-3,FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02165,1793,CF02165L100,,,CF02165L100,1793,,,,,,,,,FSMF,FBBC,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02166,81444,CF02166GUL-81444,,,CF02166L200,30054,RTORH,369,CF02166U100,4101,BSAL3,403163,CF02166G100,1807,FSMF,FBBA+FBBA,,FXFC-2/FXFC-3,FXFC-2/FXFC-3,FXFC-2/FXFC-3,,,7/23/24
SRAN/LTE,rc8,CF02166,1924,CF02166L100,,,CF02166L100,1924,,,,,,,,,FSMF,FBBC+FBBC,,FRIJ-1/FRIJ-2/FRIJ-3/FRPA-4,,,,,7/23/24
SRAN/LTE,rc8,CF02167,81057,CF02167GUL-81057,,,CF02167L200,30061,RTORH,369,CF02167U100,4107,BSAL3,403163,CF02167G100,1813,FSMF,FBBA+FBBA,,FXFC-2/FXFC-3,FXFC-2/FXFC-3,FXFC-2/FXFC-3,,,7/23/24
SRAN/LTE,rc8,CF02167,1727,CF02167L100,,,CF02167L100,1727,,,,,,,,,FSMF,FBBC,,FRIJ-1/FRIJ-2/FRIJ-3,,,,,7/23/24
SRAN/LTE,rc8,CF02168,81724,CF02168GL-81724,,,CF02168L200,2380,,,,,BSAL3,403163,CF02168G100,1819,FSMF,FBBA+FBBA,,FXFC-1,,FXFC-1,,,7/23/24
SRAN/LTE,rc8,CF02168,591,CF02168L100,,,CF02168L100,591,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02169,80498,CF02169GUL-80498,,,CF02169L100,560,RJOND,356,CF02169U100,4075,BLAU5,405956,CF02169G100,1602,ASIA,ABIA+ABIA+ABIA,,AHHB-5/AHHB-6/AHHB-7/AHFIG-1/AHFIG-2/AHFIG-3/FRPA-4,AHFIG-1/AHFIG-2/AHFIG-3,AHFIG-1/AHFIG-2/AHFIG-3,,,7/23/24
SRAN/LTE,rc8,CF02171,70190,CF02171L-70190,,,CF02171L200,6965,,,,,,,,,FSMF,FBBA+FBBA,,FXFC-1,,,,,7/23/24
SRAN/LTE,rc8,CF02171,1229,CF02171L100,,,CF02171L100,1229,,,,,,,,,FSMF,FBBC,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02172,81445,CF02172GUL-81445,,,CF02172L200,30063,RTORH,369,CF02172U100,4304,BSAL3,403163,CF02172G100,1825,FSMF,FBBA+FBBA,,FXFC-2/FXFC-3,FXFC-2/FXFC-3,FXFC-2/FXFC-3,,,7/23/24
SRAN/LTE,rc8,CF02172,668,CF02172L100,,,CF02172L100,668,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02173,80523,CF02173GU-80523,,,,,RTORD,357,CF02173U100,4232,BLAU5,405956,CF02173G100,2628,FSMF,FBBA+FBBA,,,FXFC-1,FXFC-1,,,7/23/24
SRAN/LTE,rc8,CF02173,241,CF02173L100,,,CF02173L100,241,,,,,,,,,ASIA,ABIA,,FRIG-1/FRIG-2/FXFC-4/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02174,81254,CF02174GUL-81254,,,CF02174L200,4242,RJOND,356,CF02174U100,4206,BLAU5,405956,CF02174G100,1608,FSMF,FBBA+FBBA,,FXFC-2/FXFC-3,FXFC-2/FXFC-3,FXFC-2/FXFC-3,,,7/23/24
SRAN/LTE,rc8,CF02174,711,CF02174L100,,,CF02174L100,711,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02175,975,CF02175L100,,,CF02175L100,975,,,,,,,,,FSMF,FBBC,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02175,80014,CF02175GUL-80014,,,CF02175L200,2278,RTORH,369,CF02175U100,4810,BSAL3,403163,CF02175G100,847,FSMF,FBBA+FBBA,,FXFC-1/FXFC-2,FXFC-1/FXFC-2,FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02176,81024,CF02176GL-81024,,,CF02176L200,2446,,,,,BJONO,405953,CF02176G100,829,FSMF,FBBA+FBBA,,FXFC-1,,FXFC-1,,,7/23/24
SRAN/LTE,rc8,CF02176,1568,CF02176L100,,,CF02176L100,1568,,,,,,,,,FSMF,FBBC+FBBC,,FRIJ-1/FRIJ-2/FRIJ-3/FRPA-4,,,,,7/23/24
SRAN/LTE,rc8,CF02177,70380,CF02177L-70380,,,CF02177L200,8106,,,,,,,,,FSMF,FBBA+FBBA,,FXFC-1,,,,,7/23/24
SRAN/LTE,rc8,CF02177,1010,CF02177L100,,,CF02177L100,1010,,,,,,,,,FSMF,FBBC,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02178,81612,CF02178GUL-81612,,,CF02178L200,4243,RTORH,369,CF02178U100,4124,BSAL3,403163,CF02178G100,1831,FSMF,FBBA+FBBA,,FXFC-3,FXFC-2,FXFC-3,,,7/23/24
SRAN/LTE,rc8,CF02178,2066,CF02178L100,,,CF02178L100,2066,,,,,,,,,FSMF,FBBC+FBBC,,FRPA-4/FRIJ-1/FRIJ-2/FRIJ-3,,,,,7/23/24
SRAN/LTE,rc8,CF02179,80428,CF02179GUL-80428,,,CF02179L100,1604,RTORH,369,CF02179U100,4109,BSAL3,403163,CF02179G100,2425,ASIA,ABIA+ABIA+ABIA,,AHFIG-1/AHFIG-2/AHFIG-3/FRPA-4/AHHB-5/AHHB-6/AHHB-7,AHFIG-1/AHFIG-2/AHFIG-3,AHFIG-1/AHFIG-2/AHFIG-3,,,7/23/24
